-ilities|developmental, operational, and support requirements a program addresses (ISO/IEC/IEEE 24765l:2024)|
task|required, recommended, or permissible action, intended to contribute to the achievement of one or more outcomes of a process (ISO/IEC/IEEE 12207:2026 Systems and software engineering--Software life cycle processes, 3.1.66)|ISO/IEC/IEEE 15288:2023 Systems and software engineering--System life cycle processes, 3.51
task|in software design, a software component that can operate in parallel with other software components|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
task|activities required to achieve a goal (ISO TR 25060:2023 Systems and software engineering--Systems and software Quality Requirements and Evaluation (SQuaRE)--General Framework for Common Industry Format (CIF) for usability-related information, 2.13)|
task|set or sequence of activities required to achieve a given goal (ISO/IEC 25023:2016, Systems and software engineering--Systems and software Quality Requirements and Evaluation (SQuaRE)--Measurement of system and software product quality, 4.12)|
task|recommended action intended to contribute to the achievement of one or more outcomes of an architecture process|ISO/IEC/IEEE 42020:2019 Software, systems and enterprise -- Architecture processes, 3.23
task|set of activities undertaken in order to achieve a specific goal (ISO/IEC 25062:2025 Systems and software engineering -- Systems and software product Quality Requirements and Evaluation (SQuaRE) -- Common Industry Format (CIF) for reporting usability evaluations, 3.13)|
task behavior specification|specification describing a concurrent task's interface, structure, timing characteristics, relative priority, errors detected, and task event sequencing logic|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
task board|visual representation of an agile team's progress within an iteration (ISO/IEC 29110-5-4:2025, Systems and software engineering Life cycle profiles for very small entities (VSEs) Part 5-4: Agile software development guidelines, 3.1.35)|
task board|visual representation of the progress of the planned work that allows everyone to see the status of the tasks (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
task completion|timely event when for a specific task the total output string or, in case of a set of output strings, all parts are completely received by to the emulated user or another instance (ISO/IEC 14756:1999 Information technology -- Measurement and rating of performance of computer-based software systems, 4.2)|
task interface|input or output, events signaled (input or output), external inputs or outputs, or access to passive objects|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
task inversion|optimization concept whereby the tasks in a system can be merged in a systematic way.|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
task mode|indication of whether the user's preparation time begins immediately with the task submission of the preceding task (value = 0, i.e., "NO WAIT") or begins when the preceding task has been completed (task completion) (value = 1, i.e., "WAIT") (ISO/IEC 14756:1999 Information technology -- Measurement and rating of performance of computer-based software systems, 4.21)|
task priority criteria|category of the task-structuring criteria addressing the relative importance of executing a given task|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
task structuring|software design stage with the objective of structuring a concurrent application into concurrent tasks and defining the task interfaces|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
task submission|timely event when the input string is completely submitted from the emulated user to the SUT and the execution of the task can start, regardless if the SUT starts the execution immediately or not (ISO/IEC 14756:1999 Information technology -- Measurement and rating of performance of computer-based software systems, 4.22)|
task type|classification of tasks which is defined by the combination of the activity type, or a set of activity types which are all belonging to an identical timeliness function and task mode; the timeliness function; and the task mode (ISO/IEC 14756:1999 Information technology -- Measurement and rating of performance of computer-based software systems, 4.23)|
task-clustering criteria|category of the criteria addressing whether and how to group objects into concurrent tasks|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
task-structuring criteria|set of heuristics for helping a designer structure a system into concurrent tasks|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
taskboard|visual display of tasks to be completed by an agile team and recent progress made by the team|ISO/IEC TR 24587:2021, Software and systems engineering--Agile development--Agile adoption considerations, 3.17
taxonomy|scheme that partitions a body of knowledge and defines the relationships among the pieces|ISO/IEC/IEEE 26531:2023 Systems and software engineering -- Content management for product lifecycle, user and service management information for users, 3.1.30
taxonomy|classification scheme for referencing profiles or sets of profiles unambiguously (ISO/IEC 29110-1-2:2024, Systems and software engineering Lifecycle profiles for Very Small Entities (VSEs) Part 1-2: Vocabulary, 3.112)|
TBD|to be determined|ISO/IEC/IEEE 29148:2018 Systems and software engineering-Life cycle processes- Requirements engineering, 4.2
TBR|to be resolved|ISO/IEC/IEEE 29148:2018 Systems and software engineering-Life cycle processes- Requirements engineering, 4.2
TBR|to be revised|ISO/IEC/IEEE 29148:2018 Systems and software engineering-Life cycle processes-Requirements engineering, 4.2
TBS|to be supplied|ISO/IEC/IEEE 29148:2018 Systems and software engineering-Life cycle processes- Requirements engineering, 4.1
TBS|to be specified|ISO/IEC/IEEE 29148:2018 Systems and software engineering-Life cycle processes-Requirements engineering, 4.2
TBS|time between support|IEEE 982:2024, Standard for Measures of the Software Aspects of Dependability, 3.2
TBSF|time between software failure|IEEE 982:2024, Standard for Measures of the Software Aspects of Dependability, 3.2
